kernel,source,source_token,standalone_c,fixture_scalar_types,fixture_shape_macros,operation_summary,reviewed_semantic_family,current_match,current_match_scope,linalg_ops,residual_loops,closest_library,closest_api,relationship,whole_kernel_coverage,semantic_constraints,rank_layout_constraints,required_compiler_work,confidence,priority,notes,evidence_url,alternative_libraries,current_backend_support,compiler_gap_class
aten_adaptive_max_pool3d_cpu,aten/src/ATen/native/cpu/AdaptiveMaxPoolKernel.cpp,adaptive_max_pool3d_kernel_impl,issues/aten_c_kernels/aten_adaptive_max_pool3d_cpu.c,float/int,B=1; C=2; I0=6; O0=3; I1=7; O1=3; I2=8; O2=3,adaptive_pooling: adaptive_max_pool3d_kernel_impl,adaptive_pooling,,NONE,0,7,cuDNN,regular Resample/pooling,SUBSET_WITH_CONSTRAINTS,only divisible regular-window cases,adaptive bin boundaries generally vary by output index; max indices/ties must match,only cases reducible to a fixed window and stride,finish raising residual loops; then prove regular-window specialization; otherwise no one-call library route,HIGH,LOW,,https://docs.nvidia.com/deeplearning/cudnn/latest/index.html,NPP for compatible 2D image cases; implicit-GEMM via cuBLAS/CUTLASS for convolution,RELATED_CUDNN_WRAPPERS_PRESENT_NEED_GENERALIZATION,RAISING_THEN_LIBRARY_LOWERING
aten_adaptive_max_pool3d_legacy_backward_cpu,aten/src/ATen/native/AdaptiveMaxPooling3d.cpp,adaptive_max_pool3d_backward_out_frame,issues/aten_c_kernels/aten_adaptive_max_pool3d_legacy_backward_cpu.c,float/int,C=2; ID=8; IH=9; IW=10; OD=3; OH=4; OW=5,adaptive_pooling: adaptive_max_pool3d_backward_frame,adaptive_pooling,,NONE,0,5,cuDNN,regular Resample/pooling,SUBSET_WITH_CONSTRAINTS,only divisible regular-window cases,adaptive bin boundaries generally vary by output index; max indices/ties must match,only cases reducible to a fixed window and stride,finish raising residual loops; then prove regular-window specialization; otherwise no one-call library route,HIGH,LOW,,https://docs.nvidia.com/deeplearning/cudnn/latest/index.html,NPP for compatible 2D image cases; implicit-GEMM via cuBLAS/CUTLASS for convolution,RELATED_CUDNN_WRAPPERS_PRESENT_NEED_GENERALIZATION,RAISING_THEN_LIBRARY_LOWERING
aten_adaptive_max_pool3d_legacy_cpu,aten/src/ATen/native/AdaptiveMaxPooling3d.cpp,adaptive_max_pool3d_out_frame,issues/aten_c_kernels/aten_adaptive_max_pool3d_legacy_cpu.c,float/int,C=2; ID=8; IH=9; IW=10; OD=3; OH=4; OW=5,adaptive_pooling: adaptive_max_pool3d_frame,adaptive_pooling,,NONE,0,7,cuDNN,regular Resample/pooling,SUBSET_WITH_CONSTRAINTS,only divisible regular-window cases,adaptive bin boundaries generally vary by output index; max indices/ties must match,only cases reducible to a fixed window and stride,finish raising residual loops; then prove regular-window specialization; otherwise no one-call library route,HIGH,LOW,,https://docs.nvidia.com/deeplearning/cudnn/latest/index.html,NPP for compatible 2D image cases; implicit-GEMM via cuBLAS/CUTLASS for convolution,RELATED_CUDNN_WRAPPERS_PRESENT_NEED_GENERALIZATION,RAISING_THEN_LIBRARY_LOWERING
aten_add_clamp,aten/src/ATen/native/cpu/BinaryOpsKernel.cpp,add_clamp_kernel,issues/aten_c_kernels/aten_add_clamp.c,float,N=4096,pointwise: add_clamp_kernel,pointwise,,NONE,1,0,cuDNN,Pointwise operation graph,EXACT_GRAPH_IF_SUPPORTED,whole if every node is supported,"rounding mode, integer division/modulo, NaN/signed-zero and backward formula must agree",broadcastable regular strides and cuDNN-supported data types/alignment,provenance-preserving expression DAG extraction + cuDNN graph backend,HIGH,HIGH,,https://docs.nvidia.com/deeplearning/cudnn/latest/index.html,cuTENSOR for its fixed unary/binary operator subset; NPP for flat supported signals; Thrust transform,GENERAL_CUDNN_GRAPH_BACKEND_ABSENT,SEMANTIC_MATCHER_AND_LIBRARY_BACKEND
aten_addcdiv,aten/src/ATen/native/cpu/PointwiseOpsKernel.cpp,addcdiv_cpu,issues/aten_c_kernels/aten_addcdiv.c,float,N=4096,pointwise_reduction_formula: addcdiv,pointwise_reduction_formula,,NONE,1,0,cuDNN,pointwise operations + reduction operation graph,EXACT_GRAPH_IF_SUPPORTED,whole if graph accepted,"body operations, NaN policy, reduction identity and reassociation must match",cuDNN supported modes/types/layout/alignment; fusion engines do not accept every arbitrary graph,extract expression DAG + graph legality/cost check + cuDNN plan lowering,HIGH,MEDIUM,,https://docs.nvidia.com/deeplearning/cudnn/latest/index.html,cuTENSOR for its fixed unary/binary operator subset; NPP for flat supported signals; Thrust transform,GENERAL_CUDNN_GRAPH_BACKEND_ABSENT,SEMANTIC_MATCHER_AND_LIBRARY_BACKEND
aten_addcmul,aten/src/ATen/native/cpu/PointwiseOpsKernel.cpp,addcmul_cpu,issues/aten_c_kernels/aten_addcmul.c,float,N=4096,pointwise_reduction_formula: addcmul,pointwise_reduction_formula,,NONE,1,0,cuDNN,pointwise operations + reduction operation graph,EXACT_GRAPH_IF_SUPPORTED,whole if graph accepted,"body operations, NaN policy, reduction identity and reassociation must match",cuDNN supported modes/types/layout/alignment; fusion engines do not accept every arbitrary graph,extract expression DAG + graph legality/cost check + cuDNN plan lowering,HIGH,MEDIUM,,https://docs.nvidia.com/deeplearning/cudnn/latest/index.html,cuTENSOR for its fixed unary/binary operator subset; NPP for flat supported signals; Thrust transform,GENERAL_CUDNN_GRAPH_BACKEND_ABSENT,SEMANTIC_MATCHER_AND_LIBRARY_BACKEND
aten_addr_elementwise,aten/src/ATen/native/cpu/LinearAlgebraKernel.cpp,addr_kernel,issues/aten_c_kernels/aten_addr_elementwise.c,float,N=4096,pointwise_reduction_formula: addr_kernel,pointwise_reduction_formula,,NONE,1,0,cuDNN,pointwise operations + reduction operation graph,EXACT_GRAPH_IF_SUPPORTED,whole if graph accepted,"body operations, NaN policy, reduction identity and reassociation must match",cuDNN supported modes/types/layout/alignment; fusion engines do not accept every arbitrary graph,extract expression DAG + graph legality/cost check + cuDNN plan lowering,HIGH,MEDIUM,,https://docs.nvidia.com/deeplearning/cudnn/latest/index.html,cuTENSOR for its fixed unary/binary operator subset; NPP for flat supported signals; Thrust transform,GENERAL_CUDNN_GRAPH_BACKEND_ABSENT,SEMANTIC_MATCHER_AND_LIBRARY_BACKEND
aten_airy_ai,aten/src/ATen/native/cpu/airy_ai.cpp,airy_ai_kernel,issues/aten_c_kernels/aten_airy_ai.c,float,N=4096,special_function: airy_ai_kernel,special_function,,NONE,1,0,none,no public whole-tensor NVIDIA library operation,NO_PUBLIC_LIBRARY_EQUIVALENT,none,scalar CUDA math/libdevice or recurrences are not a host-callable tensor library implementation,not applicable,retain raised code or permit a generated/custom GPU kernel,HIGH,NONE,A scalar device function may exist; that is not a link-only tensor-library lowering.,,scalar CUDA math/libdevice or generated kernel (not a link-only tensor API),NO_PUBLIC_LIBRARY_BACKEND_POSSIBLE,NO_LINK_ONLY_LIBRARY_ROUTE
aten_allany_dims_cpu,aten/src/ATen/native/ReduceOps.cpp,allany_dims_default,issues/aten_c_kernels/aten_allany_dims_cpu.c,int,R=32; C=64,boolean_reduction: allany_dims_default,boolean_reduction,,NONE,2,0,cuDNN,pointwise operations + reduction operation graph,EXACT_GRAPH_IF_SUPPORTED,whole if graph accepted,"body operations, NaN policy, reduction identity and reassociation must match",cuDNN supported modes/types/layout/alignment; fusion engines do not accept every arbitrary graph,extract expression DAG + graph legality/cost check + cuDNN plan lowering,HIGH,MEDIUM,,https://docs.nvidia.com/deeplearning/cudnn/latest/index.html,CUB segmented/device reduction; cuDNN graph; NPP flat-signal statistics,GENERAL_CUDNN_GRAPH_BACKEND_ABSENT,SEMANTIC_MATCHER_AND_LIBRARY_BACKEND
aten_aminmax_allreduce_cpu,aten/src/ATen/native/cpu/ReduceAllOpsKernel.cpp,aminmax_allreduce_kernel,issues/aten_c_kernels/aten_aminmax_allreduce_cpu.c,float,N=4096,reduction: aminmax_allreduce_kernel,reduction,,NONE,1,0,cuTENSOR,two cutensorCreateReduction plans (MIN and MAX),BUILDING_BLOCKS_ONLY,whole through two calls,ATen returns both extrema; NaN behavior and reduction reassociation must agree,regular affine tensor modes and supported floating data/compute type,recognize paired extrema and emit/cache two cuTENSOR plans,HIGH,MEDIUM,,https://docs.nvidia.com/cuda/cutensor/latest/api/cutensor.html,CUB segmented/device reduction; cuDNN graph; NPP flat-signal statistics,GENERAL_CUTENSOR_BACKEND_ABSENT_CUTENSORNET_IS_NOT_EQUIVALENT,MULTI_CALL_COMPOSITION_NOT_MATCHER_ONLY
aten_aminmax_cpu,aten/src/ATen/native/cpu/TensorCompareKernel.cpp,aminmax_kernel,issues/aten_c_kernels/aten_aminmax_cpu.c,float,N=4096,reduction: aminmax_kernel,reduction,,NONE,2,0,cuTENSOR,two cutensorCreateReduction plans (MIN and MAX),BUILDING_BLOCKS_ONLY,whole through two calls,ATen returns both extrema; NaN behavior and reduction reassociation must agree,regular affine tensor modes and supported floating data/compute type,recognize paired extrema and emit/cache two cuTENSOR plans,HIGH,MEDIUM,,https://docs.nvidia.com/cuda/cutensor/latest/api/cutensor.html,CUB segmented/device reduction; cuDNN graph; NPP flat-signal statistics,GENERAL_CUTENSOR_BACKEND_ABSENT_CUTENSORNET_IS_NOT_EQUIVALENT,MULTI_CALL_COMPOSITION_NOT_MATCHER_ONLY
aten_amp_update_scale_cpu,aten/src/ATen/native/cpu/AmpGradScalerKernels.cpp,_amp_update_scale_cpu_kernel,issues/aten_c_kernels/aten_amp_update_scale_cpu.c,float/int,,conditional_scalar_update: _amp_update_scale_kernel,conditional_scalar_update,,NONE,0,0,cuDNN,pointwise/reduction/matmul operation graph,BUILDING_BLOCKS_ONLY,arithmetic stages,"complete formula, index/label rules, state mutation, reductions and backward outputs",only graph nodes/layouts supported by cuDNN,extract and partition expression/stage graph; validate plan or keep raised code,HIGH,LOW,,https://docs.nvidia.com/deeplearning/cudnn/latest/index.html,none identified with stronger whole-kernel semantics,GENERAL_CUDNN_GRAPH_BACKEND_ABSENT,MULTI_CALL_COMPOSITION_NOT_MATCHER_ONLY
aten_and_reduce_cpu,aten/src/ATen/native/cpu/ReduceOpsKernel.cpp,and_kernel_impl,issues/aten_c_kernels/aten_and_reduce_cpu.c,int,R=32; K=64,reduction: and_kernel_impl,reduction,,NONE,2,0,CUB/Thrust,DeviceReduce with logical/bitwise operator,SUBSET_WITH_CONSTRAINTS,whole for a flat/segmented supported type,"logical versus bitwise interpretation, identity, integer type and empty input",flattened contiguous range or explicit tensor-axis segments,CUB reduction backend + boolean/integer semantic matcher,HIGH,MEDIUM,,https://nvidia.github.io/cccl/unstable/cub/api/device.html,CUB segmented/device reduction; cuDNN graph; NPP flat-signal statistics,LIBRARY_BACKEND_ABSENT,LEGALITY_SPECIALIZATION_AND_BACKEND
aten_angle_complex_scalarized,aten/src/ATen/native/cpu/UnaryOpsKernel.cpp,angle_kernel,issues/aten_c_kernels/aten_angle_complex_scalarized.c,float,N=4096,complex_layout: angle_kernel,complex_layout,,NONE,1,0,cuTENSOR,cutensorPermute with CONJ/IDENTITY,SUBSET_WITH_CONSTRAINTS,conjugate/permutation stage,angle/sign/conjugate-symmetry fill may contain formulas or overlapping writes,regular complex FP32/FP64 tensors and affine permutation,split pure conjugate/permutation stages; compose remaining work,HIGH,MEDIUM,,https://docs.nvidia.com/cuda/cutensor/latest/api/cutensor.html,none identified with stronger whole-kernel semantics,GENERAL_CUTENSOR_BACKEND_ABSENT_CUTENSORNET_IS_NOT_EQUIVALENT,LEGALITY_SPECIALIZATION_AND_BACKEND
aten_angle_real,aten/src/ATen/native/cpu/UnaryOpsKernel.cpp,angle_kernel,issues/aten_c_kernels/aten_angle_real.c,float,N=4096,pointwise_reduction_formula: angle_kernel,pointwise_reduction_formula,,NONE,1,0,cuDNN,pointwise operations + reduction operation graph,EXACT_GRAPH_IF_SUPPORTED,whole if graph accepted,"body operations, NaN policy, reduction identity and reassociation must match",cuDNN supported modes/types/layout/alignment; fusion engines do not accept every arbitrary graph,extract expression DAG + graph legality/cost check + cuDNN plan lowering,HIGH,MEDIUM,,https://docs.nvidia.com/deeplearning/cudnn/latest/index.html,cuTENSOR for its fixed unary/binary operator subset; NPP for flat supported signals; Thrust transform,GENERAL_CUDNN_GRAPH_BACKEND_ABSENT,SEMANTIC_MATCHER_AND_LIBRARY_BACKEND
aten_arange_cpu,aten/src/ATen/native/cpu/RangeFactoriesKernel.cpp,arange_kernel,issues/aten_c_kernels/aten_arange_cpu.c,float,N=4096,tensor_initialization: arange_kernel,tensor_initialization,,NONE,1,0,CUB/Thrust,cudaMemcpy*/Memset or Thrust fill/sequence/transform,BUILDING_BLOCKS_ONLY,regular contiguous stages,"concatenation, combinations, diagonal/mask/index formulas need multiple calls or transforms",contiguous/regular pitched copies; arbitrary indexing is not memcpy,shape specialization and multi-call composition,HIGH,LOW,,https://nvidia.github.io/cccl/unstable/cub/api/device.html,cuTENSOR/cuDNN only when the indexing operation specializes to a regular affine tensor op,LIBRARY_BACKEND_ABSENT,MULTI_CALL_COMPOSITION_NOT_MATCHER_ONLY
aten_argmax_cpu,aten/src/ATen/native/cpu/ReduceOpsKernel.cpp,argmax_kernel_impl,issues/aten_c_kernels/aten_argmax_cpu.c,float/int,R=32; K=64,arg_reduction: argmax_kernel_impl,arg_reduction,cudaCopy1D_f32_tensor,PARTIAL_STAGE_ONLY,4,0,CUB/Thrust,DeviceReduce/SegmentedReduce on value-index pairs; sort+RLE for mode,BUILDING_BLOCKS_ONLY,algorithmic stages,"ATen first-index/tie, NaN and stable-order rules need a custom pair comparator/composition",flatten/segment the requested tensor axis; strided axes may require permutation,preserve current partial match and partition residual graph; then CUB template backend + index-aware matcher + composition,HIGH,MEDIUM,,https://nvidia.github.io/cccl/unstable/cub/api/device.html,CUB segmented/device reduction; cuDNN graph; NPP flat-signal statistics,LIBRARY_BACKEND_ABSENT,GRAPH_PARTITION_RESIDUAL_THEN_LIBRARY_LOWERING
aten_argmin_cpu,aten/src/ATen/native/cpu/ReduceOpsKernel.cpp,argmin_kernel_impl,issues/aten_c_kernels/aten_argmin_cpu.c,float/int,R=32; K=64,arg_reduction: argmin_kernel_impl,arg_reduction,cudaCopy1D_f32_tensor,PARTIAL_STAGE_ONLY,4,0,CUB/Thrust,DeviceReduce/SegmentedReduce on value-index pairs; sort+RLE for mode,BUILDING_BLOCKS_ONLY,algorithmic stages,"ATen first-index/tie, NaN and stable-order rules need a custom pair comparator/composition",flatten/segment the requested tensor axis; strided axes may require permutation,preserve current partial match and partition residual graph; then CUB template backend + index-aware matcher + composition,HIGH,MEDIUM,,https://nvidia.github.io/cccl/unstable/cub/api/device.html,CUB segmented/device reduction; cuDNN graph; NPP flat-signal statistics,LIBRARY_BACKEND_ABSENT,GRAPH_PARTITION_RESIDUAL_THEN_LIBRARY_LOWERING
aten_atan2,aten/src/ATen/native/cpu/BinaryOpsKernel.cpp,atan2_kernel,issues/aten_c_kernels/aten_atan2.c,float,N=4096,pointwise_math: atan2_kernel,pointwise_math,,NONE,1,0,cuDNN,Pointwise operation graph,EXACT_GRAPH_IF_SUPPORTED,whole if every node is supported,"rounding mode, integer division/modulo, NaN/signed-zero and backward formula must agree",broadcastable regular strides and cuDNN-supported data types/alignment,provenance-preserving expression DAG extraction + cuDNN graph backend,HIGH,HIGH,,https://docs.nvidia.com/deeplearning/cudnn/latest/index.html,cuTENSOR for its fixed unary/binary operator subset; NPP for flat supported signals; Thrust transform,GENERAL_CUDNN_GRAPH_BACKEND_ABSENT,SEMANTIC_MATCHER_AND_LIBRARY_BACKEND
aten_avg_pool2d,aten/src/ATen/native/AveragePool2d.cpp,avg_pool2d,issues/aten_c_kernels/aten_avg_pool2d.c,float,B=2; C=4; H=16; W=16; OH=(H; OW=(W,pooling: avg_pool2d,pooling,,NONE,2,0,cuDNN,Resample forward/backward (MAXPOOL/AVGPOOL),EXACT_FIXED_CALL,whole,"padding inclusion, NaN propagation, max-index and tie behavior must match",regular fixed windows/strides/dilations in supported layouts,pool descriptor matcher + generic forward/backward lowering,HIGH,HIGH,,https://docs.nvidia.com/deeplearning/cudnn/latest/index.html,NPP for compatible 2D image cases; implicit-GEMM via cuBLAS/CUTLASS for convolution,RELATED_CUDNN_WRAPPERS_PRESENT_NEED_GENERALIZATION,SEMANTIC_MATCHER_AND_LIBRARY_BACKEND
aten_avg_pool2d_backward_cpu,aten/src/ATen/native/cpu/AvgPoolKernel.cpp,avg_pool2d_backward_kernel_impl,issues/aten_c_kernels/aten_avg_pool2d_backward_cpu.c,float,B=1; C=2; I0=6; O0=(I0; I1=7; O1=(I1,pooling: avg_pool2d_backward_kernel_impl,pooling,memset_zero_1D_f32,PARTIAL_STAGE_ONLY,2,0,cuDNN,Resample forward/backward (MAXPOOL/AVGPOOL),EXACT_FIXED_CALL,whole,"padding inclusion, NaN propagation, max-index and tie behavior must match",regular fixed windows/strides/dilations in supported layouts,preserve current partial match and partition residual graph; then pool descriptor matcher + generic forward/backward lowering,HIGH,HIGH,,https://docs.nvidia.com/deeplearning/cudnn/latest/index.html,NPP for compatible 2D image cases; implicit-GEMM via cuBLAS/CUTLASS for convolution,RELATED_CUDNN_WRAPPERS_PRESENT_NEED_GENERALIZATION,GRAPH_PARTITION_RESIDUAL_THEN_LIBRARY_LOWERING
aten_avg_pool2d_cpu,aten/src/ATen/native/cpu/AvgPoolKernel.cpp,avg_pool2d_kernel_impl,issues/aten_c_kernels/aten_avg_pool2d_cpu.c,float,B=1; C=2; I0=6; O0=(I0; I1=7; O1=(I1,pooling: avg_pool2d_kernel_impl,pooling,,NONE,4,4,cuDNN,Resample forward/backward (MAXPOOL/AVGPOOL),EXACT_FIXED_CALL,whole,"padding inclusion, NaN propagation, max-index and tie behavior must match",regular fixed windows/strides/dilations in supported layouts,finish raising residual loops; then pool descriptor matcher + generic forward/backward lowering,HIGH,HIGH,,https://docs.nvidia.com/deeplearning/cudnn/latest/index.html,NPP for compatible 2D image cases; implicit-GEMM via cuBLAS/CUTLASS for convolution,RELATED_CUDNN_WRAPPERS_PRESENT_NEED_GENERALIZATION,RAISING_THEN_LIBRARY_LOWERING
